Number,Level,Vocabulary,Wordclass,Guide
1,5급,가01,명사,강사
2,5급,-가04,접사,주택가
3,5급,-가06,접사,최고가
4,5급,가곡,명사,가곡을 듣다
5,5급,가공01,명사,식품 가공
6,5급,가구01,명사,가구 소득
7,5급,가급적01/ 가급적02,명사/부사,가급적 빨리
8,5급,가느다랗다,형용사,손가락이 가느다랗다
9,5급,가닥,명사,가닥을 잡다
10,5급,가로수,명사,가로수를 심다
11,5급,가리다01,동사,구름에 가리다
12,5급,가면,명사,가면을 쓰다
13,5급,가문,명사,가문의 영광
14,5급,가부장적01∙가부장 적02,관형사∙ 명사,가부장적 사고
15,5급,가사01,명사,가사를 돌보다
16,5급,가속화,명사,성장 가속화
17,5급,가시01,명사,가시를 빼다
18,5급,가시다,동사,피로가 가시다
19,5급,가야금,명사,가야금을 연주하다
20,5급,가옥,명사,전통 가옥
21,5급,가요계,명사,가요계에 종사하다
22,5급,가장자리,명사,가장자리에 놓다
23,5급,가중,명사,책임 가중
24,5급,가지런히,부사,가지런히 꽂다
25,5급,가창력,명사,가창력이 뛰어나다
26,5급,가축,명사,가축을 기르다
27,5급,가해자,명사,가해자를 처벌하다
28,5급,각광,명사,각광을 받다
29,5급,각지,명사,각지를 여행하다
30,5급,간간이,부사,간간이 나타나다
31,5급,간결하다,형용사,디자인이 간결하다
32,5급,간소하다,형용사,옷차림이 간소하다
33,5급,간절히,부사,간절히 바라다
34,5급,간접,명사,간접 광고
35,5급,간직00,명사,사진을 간직하다
36,5급,갈다02,동사,칼을 갈다
37,5급,갈대,명사,갈대처럼 흔들리다
38,5급,감격,명사,감격의 눈물
39,5급,감기다02,동사,줄에 감기다
40,5급,감미롭다,형용사,음악이 감미롭다
41,5급,감사03,명사,국정 감사
42,5급,감상01,명사,감상에 젖다
43,5급,감상적01∙ 감상적02,관형사∙ 명사,감상적 노래
44,5급,감성,명사,감성이 풍부하다
45,5급,감성적01∙ 감성적02,관형사∙ 명사,감성적 사고
46,5급,감염,명사,세균 감염
47,5급,감정적01∙ 감정적02,관형사∙ 명사,감정적 문제
48,5급,감탄,명사,감탄이 나오다
49,5급,감탄사,명사,감탄사가 나오다
50,5급,갑01,명사,갑을 관계
51,5급,갑갑하다,형용사,마음이 갑갑하다
52,5급,값지다,형용사,값진 보석
53,5급,강국,명사,스포츠 강국운동복
54,5급,강당,명사,강당에 모이다
55,5급,강대국,명사,강대국으로 발전하다
56,5급,강도02,명사,강도가 세다
57,5급,강력00,명사,강력 대처
58,5급,강력히,부사,강력히 주장하다
59,5급,강렬하다,형용사,빛이 강렬하다
60,5급,강산01,명사,강산을 지키다
61,5급,강연,명사,강연을 하다
62,5급,강우량,명사,강우량이 많다
63,5급,강자,명사,강자를 물리치다
64,5급,강좌,명사,강좌를 개설하다
65,5급,강풍,명사,강풍이 불다
66,5급,강화,명사,국력 강화
67,5급,갖은,관형사,갖은 방법
68,5급,개강,명사,개강 파티
69,5급,개개인,명사,개개인의 능력
70,5급,개국01,의존명사,10여 개국
71,5급,개막식,명사,월드컵 개막식
72,5급,개방적01∙ 개방적02,관형사∙ 명사,개방적 사고
73,5급,개봉,명사,편지 개봉
74,5급,개설,명사,강좌 개설
75,5급,개수,명사,개수를 세다
76,5급,개업,명사,식당 개업
77,5급,개요,명사,개요를 작성하다
78,5급,개인주의,명사,개인주의 성향
79,5급,개장,명사,해수욕장 개장
80,5급,개조01,명사,차량 개조
81,5급,개척,명사,황무지 개척
82,5급,개통,명사,도로 개통
83,5급,객석,명사,극장 객석
84,5급,객실,명사,객실을 예약하다
85,5급,거느리다,동사,백성을 거느리다
86,5급,거닐다,동사,거리를 거닐다
87,5급,거리02,의존명사,이야깃거리
88,5급,거만,명사,거만을 떨다
89,5급,거부02,명사,참가 거부
