Number,Level,Vocabulary,Wordclass,Guide
1,1급,가게,명사,가게에 가다
2,1급,가격02,명사,가격이 비싸다
3,1급,가구02,명사,가구를 놓다
4,1급,가깝다,형용사,거리가 가깝다
5,1급,가다01,동사,학교에 가다
6,1급,가르치다,동사,한국어를 가르치다
7,1급,가방,명사,가방을 메다
8,1급,가볍다,형용사,짐이 가볍다
9,1급,가수,명사,가수가 되다
10,1급,가요,명사,가요를 부르다
11,1급,가운데,명사,가운데 자리
12,1급,가을,명사,계절
13,1급,가장01,부사,가장 좋다
14,1급,가족,명사,우리 가족
15,1급,가지03,의존명사,여러 가지
16,1급,가지다01,동사,돈을 가지다
17,1급,갈비,명사,갈비를 먹다
18,1급,갈비탕,명사,갈비탕을 먹다
19,1급,갈아타다,동사,지하철을 갈아타다
20,1급,감01,명사,과일
21,1급,감기,명사,감기에 걸리다
22,1급,감사01,명사,감사 인사
23,1급,값,명사,값을 깎다
24,1급,같다,형용사,서로 같다
25,1급,같이01,부사,같이 살다
26,1급,개01,명사,동물
27,1급,개03,의존명사,사과 한 개
28,1급,거기,대명사,거기에 있다
29,1급,거실,명사,거실에 모이다
30,1급,건강,명사,건강 검진
31,1급,건너편,명사,건너편으로 가다
32,1급,건물,명사,건물을 짓다
33,1급,걷다02,동사,길을 걷다
34,1급,걸다02,동사,그림을 걸다
35,1급,걸리다01,동사,그림이 걸리다
36,1급,것,의존명사,먹을 것
37,1급,게임,명사,컴퓨터 게임
38,1급,겨울,명사,계절
39,1급,계속02/계속01,부사/ 명사,계속 달리다
40,1급,계시다01,동사,한국에 계시다
41,1급,계절,명사,계절이 바뀌다
42,1급,계획,명사,계획을 세우다
43,1급,고기01,명사,고기를 먹다
44,1급,고르다01,동사,선물을 고르다
45,1급,고맙다01,형용사,고마운 마음
46,1급,고양이,명사,고양이를 기르다
47,1급,고프다,형용사,배가 고프다
48,1급,고향,명사,고향에 가다
49,1급,곳,명사,어느 곳
50,1급,공부,명사,외국어 공부
51,1급,공원02,명사,공원에서 놀다
52,1급,공책,명사,공책에 쓰다
53,1급,공항,명사,공항 터미널
54,1급,과일,명사,과일을 깎다
55,1급,괜찮다,형용사,성격이 괜찮다
56,1급,교실,명사,교실에서 수업하다
57,1급,교통,명사,교통이 편리하다
58,1급,구01/구02,수사/ 관형사,숫자
59,1급,구경,명사,구경을 가다
60,1급,구두01,명사,구두를 신다
61,1급,구십01/구십02,수사/ 관형사,숫자
62,1급,구월,명사,달
63,1급,국적,명사,대한민국 국적
64,1급,권,의존명사,책 한 권
