Number,Level,Vocabulary,Wordclass,Guide
1,중급,-가13,접사,전문가
2,중급,가까이,부사/명사,가까이 다가오다
3,중급,가꾸다,동사,나무를 가꾸다
4,중급,가난01,명사,에 찌들다
5,중급,가능,명사,주차 가능
6,중급,가능성,명사,이 높다
7,중급,가득하다01,형용사,물이
8,중급,가득히,부사,물을 가득히 따르다
9,중급,가라앉다,동사,먼지가
10,중급,-가량06,접사,한 시간가량
11,중급,가렵다,형용사,몸이
12,중급,가로01,명사/부사,세로
13,중급,가로등,명사,이 켜지다
14,중급,가로막다,동사,길을
15,중급,가루01,명사,로 만들다
16,중급,가르다,동사,칼로
17,중급,가리다02,동사,얼굴을
18,중급,가리다03,동사,시비를
19,중급,가만,부사,가만 놔두다
20,중급,가만있다,동사,잠자코 가만있다
21,중급,가만히,부사,가만히 두다
22,중급,가뭄,명사,이 들다
23,중급,가사09,명사,노래 가사
24,중급,가스,명사,가스가 떨어지다
25,중급,가스레인지,명사,를 켜다
26,중급,가습기,명사,를 켜다
27,중급,가입,명사,을 권유하다
28,중급,가입자,명사,를 모집하다
29,중급,가장07,명사,집안의 가장
30,중급,가전제품,명사,을 구입하다
31,중급,가정06,명사,을 이루다
32,중급,가정07,명사,을 해 보다
33,중급,가정주부,명사,로 살다
34,중급,가져다주다,동사,물건을
35,중급,가죽01,명사,가죽 잠바
36,중급,가지01,명사,를 꺾다
37,중급,가짜,명사,로 꾸미다
38,중급,가치06,명사,가 높다
39,중급,가치관,명사,이 바뀌다
40,중급,가톨릭,명사,을 믿다
41,중급,각01,관형사,각 개인
42,중급,각국,명사,아시아 각국
43,중급,각오01,명사,를 다지다
44,중급,각자02,명사/부사,각자가 맡다
45,중급,각종,명사,각종 과일
46,중급,간01,명사,을 보다
47,중급,간08,명사,신체
48,중급,간10,의존명사,서울과 부산 간
49,중급,-간16,접사,이틀간
50,중급,간격02,명사,을 넓히다
51,중급,간섭,명사,을 받다
52,중급,간신히,부사,간신히 살아나다
53,중급,간절하다,형용사,간절한 기도
54,중급,간접적,관형사·명사,간접적 영향
55,중급,간지럽다,형용사,눈이
56,중급,간판02,명사,을 걸다
57,중급,간편하다,형용사,사용이
58,중급,간호,명사,를 받다
59,중급,간혹,부사/명사,간혹 생기다
60,중급,갇히다,동사,감옥에
61,중급,갈다01,동사,붕대를
62,중급,갈등,명사,이 심하다
63,중급,갈라지다01,동사,벽이
64,중급,갈수록,부사,갈수록 더하다
65,중급,갈증,명사,이 나다
66,중급,-감19,접사,책임감
67,중급,감각02,명사,이 없다
68,중급,감다03,동사,붕대를
69,중급,감독,명사,을 강화하다
70,중급,감동02,명사,을 받다
71,중급,감동적,관형사·명사,감동적 이야기
72,중급,감상05,명사,음악 감상
73,중급,감상문,명사,독서 감상문
74,중급,감소01,명사,인구 감소
75,중급,감시02,명사,를 당하다
76,중급,감싸다,동사,얼굴을
77,중급,감옥02,명사,에 가두다
78,중급,감정06,명사,이 풍부하다
79,중급,감추다,동사,모습을
80,중급,감히,부사,감히 대들다
81,중급,갑작스럽다,형용사,갑작스러운 일
82,중급,값싸다,형용사,값싼 물건
83,중급,강도06,명사,은행 강도
84,중급,강물,명사,이 흐르다
85,중급,강사04,명사,시간 강사
86,중급,강수량,명사,이 많다
87,중급,강요01,명사,부모의 강요
88,중급,강의02,명사,를 듣다
89,중급,강의실,명사,대형 강의실
90,중급,강제01,명사,로 시키다
91,중급,강조02,명사,강조 사항
92,중급,갖가지,명사,갖가지 모양
93,중급,갖추다,동사,시설을
94,중급,개구리,명사,를 잡다
95,중급,개나리01,명사,가 피다
96,중급,개념,명사,을 이해하다
97,중급,개다01,동사,날이
98,중급,개다03,동사,옷을
99,중급,개미03,명사,곤충
100,중급,개발,명사,재능 개발
101,중급,개방04,명사,개방 시간
102,중급,개별,명사,개별 행동
103,중급,개선01,명사,제도 개선
104,중급,개성03,명사,이 강하다
105,중급,개인02,명사,개인의 자유
106,중급,개인적,관형사·명사,개인적 감정
107,중급,개최,명사,공동 개최
108,중급,개혁,명사,경제 개혁
109,중급,-객02,접사,등산객
110,중급,객관적,관형사·명사,객관적 증거
111,중급,걔,줄어든 말,그 아이
112,중급,거꾸로,부사,거꾸로 뒤집히다
113,중급,거대,명사,거대 규모
114,중급,거두다,동사,빨래를
115,중급,거들다01,동사,일을
116,중급,거래02,명사,가 이루어지다
117,중급,거래처,명사,거래처 직원
